accuracy,loss,val_accuracy,val_loss
0.6632550954818726,0.7551999688148499,0.798617422580719,0.5600820779800415
0.8468431830406189,0.44759899377822876,0.8248135447502136,0.4931773543357849
0.8848253488540649,0.32760581374168396,0.8235400915145874,0.4928308427333832
0.9133460521697998,0.24349476397037506,0.8289976119995117,0.5389645099639893
0.940365731716156,0.16818563640117645,0.8271784782409668,0.5468389391899109
0.9594705104827881,0.12055987119674683,0.8273603916168213,0.5625701546669006
0.969295859336853,0.0910649225115776,0.7937056422233582,0.662841260433197
0.9773926734924316,0.06814264506101608,0.8148080706596375,0.6962412595748901
0.980121910572052,0.059193652123212814,0.8077132701873779,0.7727999091148376
0.9833970069885254,0.05183040350675583,0.813534677028656,0.7084876298904419
